# Constructed from biom file
#OTU ID	U307-before	U307-during	U310-before	U310-during	U311-before	U311-during	U312-before	U312-during	U313-before	U313-during	U315-before	U315-during	U316-before	U316-during	U317-before	U317-during	U318-before	U318-during	U322-before	U322-during	U323-before	U323-during	U325-before	U325-during	U326-before	U326-during	U327-before	U327-during	U328-before	U328-during	U329-before	U329-during	U331-before	U331-during	U332-before	U332-during	U333-before	U333-during	U334-before	U334-during	U335-before	U335-during	U336-before	U336-during	U338-before	U338-during	U339-before	U339-during	U341-before	U341-during	U343-before	U343-during	U344-before	U344-during
45ddc69a3fbf19ff4953211c157cb9ac	0.0	0.0	0.0	0.0	1250.0	4140.0	0.0	0.0	0.0	0.0	0.0	0.0	1280.0	1113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	837.0	2543.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b28c20e72c6c95b3e604f0849245770	413.0	1200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	426.0	440.0	0.0	0.0	4262.0	2049.0	290.0	534.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	816.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c48070f3061b086b60ff32f77e0002fa	379.0	623.0	44.0	33.0	41.0	64.0	106.0	0.0	126.0	78.0	544.0	476.0	708.0	255.0	319.0	393.0	302.0	184.0	148.0	511.0	155.0	91.0	305.0	549.0	0.0	0.0	181.0	1262.0	0.0	0.0	0.0	90.0	34.0	55.0	171.0	127.0	0.0	0.0	493.0	269.0	0.0	0.0	38.0	136.0	45.0	97.0	0.0	0.0	20.0	18.0	645.0	94.0	0.0	0.0
bf611493002f5918a68778bde2def567	0.0	0.0	0.0	0.0	176.0	129.0	0.0	0.0	0.0	0.0	277.0	722.0	0.0	0.0	254.0	626.0	58.0	313.0	630.0	846.0	67.0	0.0	28.0	236.0	431.0	693.0	0.0	0.0	0.0	0.0	0.0	0.0	417.0	414.0	673.0	569.0	0.0	0.0	993.0	85.0	0.0	0.0	52.0	0.0	43.0	239.0	666.0	83.0	0.0	0.0	0.0	260.0	0.0	0.0
1ab75f81f06d896defe1a2a976e99bcd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4840.0	3111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	768.0	1149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9639a3291729a3758207b47715d9205f	188.0	228.0	169.0	278.0	99.0	229.0	0.0	0.0	0.0	0.0	152.0	425.0	270.0	85.0	353.0	216.0	740.0	296.0	69.0	137.0	516.0	437.0	0.0	0.0	614.0	305.0	52.0	167.0	0.0	0.0	0.0	0.0	74.0	116.0	237.0	109.0	0.0	0.0	1140.0	653.0	0.0	0.0	15.0	69.0	38.0	77.0	6.0	0.0	185.0	21.0	422.0	40.0	518.0	120.0
394eda29c886632f514dd94b58381186	448.0	219.0	0.0	0.0	297.0	181.0	0.0	34.0	203.0	53.0	2069.0	1357.0	25.0	8.0	21.0	8.0	263.0	507.0	0.0	14.0	0.0	0.0	214.0	166.0	122.0	153.0	0.0	229.0	37.0	0.0	0.0	3.0	42.0	1480.0	104.0	170.0	13.0	5.0	0.0	0.0	0.0	42.0	35.0	236.0	37.0	0.0	0.0	29.0	114.0	54.0	0.0	7.0	37.0	0.0
8135beec331a8d558070c38b580e4b8e	182.0	341.0	88.0	366.0	229.0	423.0	0.0	0.0	0.0	0.0	259.0	135.0	50.0	0.0	575.0	548.0	0.0	0.0	174.0	542.0	0.0	0.0	181.0	182.0	0.0	0.0	760.0	680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	716.0	261.0	437.0	202.0	0.0	0.0	88.0	224.0	0.0	0.0	64.0	0.0	869.0	123.0	0.0	0.0
675c847bccbc53942ebb7b8cbb4efc4d	0.0	0.0	3644.0	2223.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	2572.0	0.0	0.0
2e4f2b53b856c4def6d021d01f5abb70	155.0	175.0	89.0	203.0	26.0	149.0	114.0	81.0	135.0	55.0	90.0	183.0	462.0	193.0	286.0	193.0	161.0	69.0	160.0	169.0	290.0	258.0	70.0	125.0	218.0	60.0	274.0	428.0	0.0	0.0	200.0	137.0	30.0	49.0	279.0	37.0	13.0	0.0	738.0	346.0	89.0	36.0	12.0	75.0	0.0	0.0	126.0	81.0	75.0	125.0	555.0	140.0	0.0	0.0
